onset	duration	trial_type	param_surprise	param_V	param_rpe
199.3318513603	1.7152758397001	ChoiceTactile	-1.2754264662149897	-0.9172936679164647	
202.947099798663	1.0	FeedbackTactile			1.7346686986828643
208.335738915708	2.25074218429199	ChoiceTactile	-0.7804472548485158	1.3396309828899426	
212.832629255865	1.0	FeedbackTactile			0.09227850840398831
217.530857753145	2.17066424685481	ChoiceTactile	0.47887593159930714	-1.3394051519712686	
221.04070085977	1.0	FeedbackTactile			-0.420794688080416
226.893352375403	1.74610192459704	ChoiceTactile	-1.0724387428367108	1.4551146151670789	
231.341027035624	1.0	FeedbackTactile			0.008239732576017362
235.819457682047	2.11923331795288	ChoiceTactile	-0.5831844107876071	-1.5601923060462763	
240.059829646188	1.0	FeedbackTactile			-0.2601253206459212
244.346177409956	1.2178667900439	ChoiceTactile	-1.3059221573415463	0.2746208607053274	
248.635881674565	1.0	FeedbackTactile			0.86729870085868
252.446293077588	2.21247012241201	ChoiceTactile	-1.2453242788679102	-0.9172936679164647	
256.663746807891	1.0	FeedbackTactile			1.7346686986828643
260.064744063167	1.73438693683238	ChoiceTactile	-0.8266445496257164	0.6967323447601312	
264.465159721942	1.0	FeedbackTactile			0.5601232883485815
268.134572390468	1.83486620953227	ChoiceTactile	0.8479946803600832	0.6967323447601312	
272.050088603225	1.0	FeedbackTactile			0.5601232883485815
276.884240842165	1.94466385783471	ChoiceTactile	0.23308173838831286	-1.3394051519712686	
280.792187066256	1.0	FeedbackTactile			-0.420794688080416
284.282854423881	1.49315347611901	ChoiceTactile	0.2879757334554526	1.1188438288149352	
288.335115024193	1.0	FeedbackTactile			0.252947875838483
292.290555878559	1.99484662144096	ChoiceTactile	-0.1789610385791147	-1.5601923060462763	
296.116740322251	1.0	FeedbackTactile			-0.2601253206459212
300.66251832976	1.3703495702398	ChoiceTactile	-0.12653440191341414	1.3396309828899426	
304.945355737355	1.0	FeedbackTactile			0.09227850840398831
308.128169734361	1.64964176563899	ChoiceTactile	2.0623427822235403	-0.9172936679164647	
312.624157787747	1.0	FeedbackTactile			1.7346686986828643
317.769531868135	1.39641013186474	ChoiceTactile	2.11251433205236	0.6967323447601312	
322.20395083591	1.0	FeedbackTactile			0.5601232883485815
326.251910523665	1.6890087763345	ChoiceTactile	0.54459540851002	-0.1102806615781667	
330.21266115434	1.0	FeedbackTactile			1.147395993515723
334.354148853828	1.97527184617229	ChoiceTactile	-0.35320646223325564	-1.6756759383234126	
338.139144979706	1.0	FeedbackTactile			-0.17608654481795016
342.807641505318	1.22008329468144	ChoiceTactile	-0.9772056363382956	0.8980566747399275	
346.642124399546	1.0	FeedbackTactile			0.41361724327297766
351.978270860114	1.68958323988591	ChoiceTactile	-0.6194946714393877	1.1188438288149352	
355.499806807217	1.0	FeedbackTactile			0.252947875838483
361.174379185806	1.86433411419375	ChoiceTactile	-0.8857081385661828	0.2746208607053274	
364.897739200497	1.0	FeedbackTactile			-1.595340098414699
368.806734985031	1.23623031496936	ChoiceTactile	-1.1160453797673393	1.2241473506128067	
372.921361856467	1.0	FeedbackTactile			-2.28632151504142
376.680184733314	1.98026736668635	ChoiceTactile	1.4904997494333156	0.2746208607053274	
380.338580709985	1.0	FeedbackTactile			-1.595340098414699
384.027711455794	1.88421974420589	ChoiceTactile	-0.443344072382427	-1.7360801288651773	
387.67125733534	1.0	FeedbackTactile			-0.1321297162361524
391.36023749876	1.12766270123939	ChoiceTactile	-1.2333913262458387	-0.21931558805128187	
394.860994049734	1.0	FeedbackTactile			1.2267419714920977
399.013481097841	1.87479180215905	ChoiceTactile	-0.6715314865399571	1.3396309828899426	
402.875803022536	1.0	FeedbackTactile			0.09227850840398831
407.793275411053	1.76653468894665	ChoiceTactile	0.04017129699116433	1.4551146151670789	
411.369297217214	1.0	FeedbackTactile			0.008239732576017362
415.27993890882	1.76779109118024	ChoiceTactile	0.5053862981427838	0.6967323447601312	
418.895911936506	1.0	FeedbackTactile			0.5601232883485815
423.716690062492	2.46822903750854	ChoiceTactile	-0.24035634900414793	1.5155188057088438	
428.132961052184	1.0	FeedbackTactile			-0.03571709600578038
432.317887847055	1.32381435294474	ChoiceTactile	0.1578207874361455	1.1188438288149352	
436.164277229493	1.0	FeedbackTactile			0.252947875838483
440.172618286259	2.11409671374122	ChoiceTactile	-0.7501495932752461	-0.7159693379366685	
444.564768876023	1.0	FeedbackTactile			-0.8744761456661181
449.305636529297	2.46739027070316	ChoiceTactile	-0.7128226025349832	-1.6756759383234126	
452.853425804433	1.0	FeedbackTactile			2.2865522544554286
456.213164115888	1.40075418411243	ChoiceTactile	1.8868550293568884	0.2746208607053274	
459.820987230838	1.0	FeedbackTactile			0.86729870085868
463.687642359587	1.80713944041327	ChoiceTactile	-0.8857081385661828	1.4551146151670789	
468.005008715825	1.0	FeedbackTactile			0.008239732576017362
471.200016943592	1.81080365640764	ChoiceTactile	-0.8500908490025499	1.5155188057088438	
475.647850736488	1.0	FeedbackTactile			-0.03571709600578038
479.561975342634	1.45491165736621	ChoiceTactile	0.017073215713507194	1.3396309828899426	
483.903011708398	1.0	FeedbackTactile			0.09227850840398831
487.568465514205	2.16486828579491	ChoiceTactile	2.028285430632505	1.1188438288149352	
491.389802126172	1.0	FeedbackTactile			0.252947875838483
